,linear_propensity_scores
0,-0.38432292198268786
1,-0.7436485858344548
2,-0.8522218114941394
3,-1.5445655967819463
4,-1.6615130748041271
5,-1.7613191869697105
6,-1.5445655967819463
7,-0.9333856620059259
8,-1.7613191869697105
9,-0.5769707674479415
10,-1.0689754016819026
11,-1.5234120533776379
12,-1.216215295799895
13,-1.114334450941816
14,-0.37368698560168884
15,-0.8522218114941394
16,0.2567336181386567
17,-0.8083260629817143
18,-1.0689754016819026
19,-0.8312881067117148
20,-0.9334182988008567
21,-1.7535631092228707
22,-1.4782332626888666
23,-1.0749798208626715
24,-0.728562351912646
25,-1.4088660714619226
26,-1.7613191869697105
27,-1.5445655967819463
28,-0.9065888780537232
29,-1.2493961663067497
30,-1.5107469163200022
31,-0.6328563200902684
32,-0.9349573378595757
33,-1.1708562465399817
34,-0.9172615742735687
35,-1.1670897422439694
36,-1.5029908385731625
37,-1.7613191869697105
38,-0.9277424214580315
39,-1.4814097829379522
40,-1.7613191869697105
41,-0.9349573378595757
42,-0.8312881067117148
43,-1.0191424191316485
44,-0.564152944289487
45,-0.4668726512422371
46,-1.5445655967819463
47,-1.7613191869697105
48,-1.2138588598323035
49,-0.7053493637795489
50,-1.5234120533776379
51,-1.740165643565402
52,-1.7139769591254843
53,-1.2253861325343312
54,-1.5445655967819463
55,-1.7613191869697105
56,-1.4088660714619226
57,-0.38432292198268786
58,-1.0296232663161113
59,-0.982281038471886
60,-1.7613191869697105
61,-0.3952693030684172
62,-1.5445655967819463
63,-1.7613191869697105
64,-1.7485439969342378
65,-0.8295575306931442
66,-0.9065888780537232
67,-0.030275955455718286
68,-1.7613191869697105
69,-1.7613191869697105
70,-1.5234120533776379
71,-1.0689754016819026
72,-1.1665166319880769
73,-1.7613191869697105
74,-1.7613191869697105
75,-0.9364259290086505
76,-1.7613191869697105
77,-1.0689754016819026
78,-0.8148950755446419
79,-1.0689754016819026
80,-1.7613191869697105
81,-0.9364259290086505
82,-1.7613191869697105
83,0.2252107679541405
84,0.1642477871367077
85,-0.6389880235855243
86,0.3448355625097923
87,-1.7613191869697105
88,-1.0689754016819026
89,-0.8128696761283478
90,-1.6155425935992056
91,-1.7613191869697105
92,-0.9298950928936522
93,-1.5445655967819463
94,-0.9297678208743262
95,-0.728839684052811
96,-0.8540619324037599
97,-0.7168745504604197
98,-1.7613191869697105
99,-0.9349573378595757
100,-1.0689754016819026
101,-1.180656610377988
102,-0.9894959548734291
103,-0.5769707674479415
104,-1.7613191869697105
105,-1.444759484616363
106,-1.011693429318658
107,-0.18793230759138738
108,-1.7613191869697105
109,-1.5234120533776379
110,-1.5317904067464734
111,-1.5445655967819463
112,0.3208567385406732
113,-1.7613191869697105
114,-0.9349573378595757
115,-1.7139769591254843
116,-1.2253861325343312
