,propensity_scores
0,0.5039567238423754
1,0.4317099774795164
2,0.5746680944924483
3,0.4659269246340907
4,0.549626096142816
5,0.4659292274571706
6,0.6159302214507794
7,0.4401891263188357
8,0.3666882947321854
9,0.4264249607130455
10,0.44039951927875387
11,0.3993128214458588
12,0.38079557778784223
13,0.41830242477022905
14,0.4557047775668555
15,0.5111305623031357
16,0.4032803844034356
17,0.4260140532381185
18,0.4462583545517859
19,0.2964509890201494
20,0.3934932192601895
21,0.3828276074828285
22,0.5212552583812115
23,0.5228117940157773
24,0.4122021871318123
25,0.40838802239930716
26,0.4649193850073288
27,0.655289929906883
28,0.4005391376660458
29,0.38113013419918473
30,0.5521201786001172
31,0.5788872002659056
32,0.4825635597158195
33,0.4742459428273726
34,0.5340037601864585
35,0.31928080256853
36,0.5289126131811516
37,0.44925318172904205
38,0.4462583545517859
39,0.4260140532381185
40,0.3640418459024458
41,0.5277865379304038
42,0.6045373766346395
43,0.4462583545517859
44,0.375643411959715
45,0.32781373862831376
46,0.586387223189601
47,0.41809470122250236
48,0.5214550551220302
49,0.4585782541013788
50,0.34434358833055434
51,0.44620272785852755
52,0.42902116100205306
53,0.28447534825962495
54,0.4442881346646178
55,0.41722881054891603
56,0.5673282946904845
57,0.42114179485500214
58,0.557658120926998
59,0.4319905540051798
60,0.494647683530374
61,0.4412567150918621
62,0.5976857828451942
63,0.42114179485500214
64,0.3713530099427322
65,0.4944342726083266
66,0.36120207159542
67,0.4034506907629912
68,0.32511209653958306
69,0.43418590238461713
70,0.4125493031786868
71,0.4616427866403899
72,0.3537078266151097
73,0.4198389403652315
74,0.41423225570178646
75,0.47386073330234907
76,0.5665837583612264
77,0.4201165426472591
78,0.5300989787108983
79,0.43434034468426497
80,0.5553315322322496
81,0.5042295451963659
82,0.4231729285165976
83,0.4095627372641973
84,0.5016448347431917
85,0.4617794149469595
86,0.44737150018406896
87,0.565839342521171
88,0.6882982529907558
89,0.3789166188207899
90,0.41513980812509255
91,0.4062526596161093
92,0.33441631185009635
93,0.38549467137596266
94,0.4442257413848884
95,0.38302934263183613
96,0.38244868676942945
97,0.4410894008546165
98,0.39408452846887676
99,0.5407282420680096
100,0.44604739363347506
101,0.37863614467833967
102,0.47672445139638775
103,0.5494749490047485
104,0.49238268429018084
105,0.3828807957873774
106,0.49238268429018084
107,0.44133521648167434
108,0.28367090458144356
109,0.4460350353179279
110,0.42902116100205306
111,0.4915641074418404
112,0.5701836468296388
113,0.4020918063961397
114,0.5833919624676895
115,0.5706014765478065
116,0.41863811718872107
117,0.6159834721440832
118,0.5452478302184409
119,0.4557047775668555
120,0.4236166236896502
121,0.44575419052662835
122,0.49219009861178337
123,0.3654458321849438
124,0.46836313524723316
125,0.4243056900554345
126,0.47461189177736823
127,0.43439848849680873
128,0.30078838946598363
129,0.5529918692322765
130,0.4718849605747952
131,0.42726686844814343
132,0.3813827957427629
133,0.39030327667634473
134,0.4649468211019695
135,0.3932429378824132
136,0.35521944041698844
137,0.48088401040869155
138,0.41830242477022905
139,0.4092197259521548
140,0.6140603269958254
141,0.42237496910869493
142,0.5512249016252283
143,0.5480739733570299
144,0.44062510616058564
145,0.4095627372641973
146,0.47148750502654524
147,0.3735849604702888
148,0.4572129924817437
149,0.278836434784811
150,0.4559019423608118
151,0.38903400134197796
152,0.3670080985346939
153,0.39431140745565507
154,0.4061983616351695
155,0.43418590238461713
156,0.4649468211019695
157,0.3968852657806744
158,0.4646542240641075
159,0.5927398106865023
160,0.5542774400619396
161,0.4402376706805136
162,0.4718288613481741
163,0.4706294013190801
164,0.4324457491700694
165,0.33441631185009635
166,0.4242838829845441
167,0.41046968720661187
168,0.4825635597158195
169,0.39743878532397453
170,0.4412778739072197
171,0.47386073330234907
172,0.619296643079507
173,0.5265608719308285
174,0.36524519943423606
175,0.47812810706506015
176,0.6882982529907558
177,0.5157701498678283
178,0.3637308594955792
179,0.3501193606097442
180,0.3192617023177718
181,0.4323939319816139
182,0.42300020016543644
183,0.4999719927729182
184,0.48287784592311284
185,0.3867869419700024
186,0.3822164308142893
187,0.4121509954997273
188,0.4153228431762959
189,0.42750904602901263
190,0.4622563156074324
191,0.4648879492077405
192,0.41830242477022905
193,0.48088401040869155
194,0.5732439705609086
195,0.5165057568050604
196,0.5519634201137713
197,0.39469816185040424
198,0.5021754695650318
199,0.34719163833599936
200,0.3411342777209732
201,0.3018598442458841
202,0.49580630477266263
203,0.3757887824711823
204,0.44039951927875387
205,0.4553609413506024
206,0.4871147675907668
207,0.5440701503182824
208,0.39359040313861804
209,0.42409715882089577
210,0.4803574938470011
211,0.46910152185850645
212,0.41423225570178646
213,0.4525341548971471
214,0.43972236522156605
215,0.47299285212506637
216,0.5250285719739016
217,0.4214549884890542
218,0.39359040313861804
219,0.5212552583812115
220,0.41809470122250236
221,0.47299285212506637
222,0.45663219530815324
223,0.4317099774795164
224,0.42114179485500214
225,0.4125493031786868
226,0.364198978571768
227,0.3701977853071464
228,0.35225548607439383
229,0.5407282420680096
230,0.4640590082662953
231,0.49546639136355447
232,0.521150012390153
233,0.4005391376660458
234,0.4210869181812883
235,0.5543206973981913
236,0.374586543638447
237,0.49447804080936736
238,0.4614741267350515
239,0.33033153067227944
240,0.3138554454896534
241,0.4061983616351695
242,0.36413088243483893
243,0.4292664155559877
244,0.3886558955796098
245,0.38302934263183613
246,0.5422971057619628
247,0.4354119119620901
248,0.3493345644448469
249,0.4462583545517859
250,0.41107575461708185
251,0.4587539597035578
252,0.4741783578657656
253,0.3580385420522751
254,0.5190075492009192
255,0.41830242477022905
256,0.4585782541013788
257,0.3033787655981816
258,0.5070801528675376
259,0.43780594065999673
260,0.4093562995457285
261,0.42132816976959153
262,0.4803574938470011
263,0.45574820793927706
264,0.34163408918967014
265,0.3525425480362586
266,0.5902899320729043
267,0.5895007058447679
268,0.41722881054891603
269,0.49495015758953387
270,0.41406759473689125
271,0.4646542240641075
272,0.5776229362081181
273,0.5517867717371533
274,0.44329630483734506
275,0.4243056900554345
276,0.41858959635282544
277,0.4750588287625536
278,0.5769025571101681
279,0.44039951927875387
280,0.35296604920909824
281,0.4557047775668555
282,0.46771183170753655
283,0.5607055671308371
284,0.6882982529907558
285,0.4032803844034356
286,0.4005391376660458
287,0.515528090542676
288,0.37311963201952736
289,0.4410462353751611
290,0.5952988653833708
291,0.5200761100459258
292,0.3613471325181898
293,0.305944506425583
294,0.5217272994825423
295,0.5511277843021392
296,0.47511486822313453
297,0.3974301183582569
298,0.44746942030107106
299,0.40242673265607354
300,0.46143061332875446
301,0.4122021871318123
302,0.511630736352407
303,0.31928080256853
304,0.48531304318201945
305,0.4062526596161093
306,0.4712155611040601
307,0.37217256444303215
308,0.41046968720661187
309,0.37852944557970397
310,0.3253019817644393
311,0.37744656374666363
312,0.42902116100205306
313,0.5854183090772306
314,0.48276680685167556
315,0.5068667580199474
